,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
104,0.76,0.59,0.96,0.85,0.24,0.28,0.29,0.31,0.03,0.55,0.53,0.57,0.43,0.74,0.9,0.15,0.74
105,0.38,0.66,0.9,0.71,0.64,0.16,0.12,0.7,0.51,0.23,0.11,0.98,0.73,0.25,0.86,0.94,0.17
106,0.43,0.02,0.43,0.86,0.21,0.46,0.94,0.53,0.16,0.19,0.57,0.29,0.92,0.79,0.59,0.67,0.98
107,0.14,0.22,0.47,0.73,0.12,0.14,0.84,0.68,0.0,0.62,0.88,0.6,0.59,0.07,0.59,0.5,0.45
108,0.53,0.19,0.74,0.39,0.13,0.37,0.5,0.19,0.07,0.22,0.12,0.61,0.22,0.69,0.68,0.54,0.04
109,0.45,0.6,0.17,0.39,0.03,0.85,0.4,0.57,0.01,0.93,0.54,0.33,0.13,0.35,0.56,0.52,0.27
110,0.75,0.84,0.52,0.57,0.78,0.18,0.27,0.96,0.96,0.79,0.26,0.71,0.05,0.48,0.17,0.25,0.92
111,0.15,0.0,0.03,0.67,0.38,0.2,0.99,0.98,0.6,0.23,0.52,0.52,0.12,0.44,0.51,0.8,0.87
112,0.82,0.8,0.91,0.26,0.09,0.77,0.69,0.49,0.27,0.1,0.66,0.06,0.35,0.59,0.8,0.46,0.63
113,0.59,0.73,0.6,0.37,0.41,0.15,0.16,0.97,0.9,0.63,0.0,0.54,0.69,0.95,0.74,0.86,1.0
114,0.46,0.41,0.66,0.6,0.63,0.98,0.89,0.93,0.21,0.72,0.77,0.25,0.52,0.24,0.57,0.91,0.25
115,0.17,1.0,0.02,0.95,0.13,0.62,0.39,0.14,0.12,0.11,1.0,0.26,0.34,0.65,0.17,0.85,0.65
116,0.44,0.38,0.12,0.31,0.7,0.98,0.17,0.2,0.77,0.35,0.97,0.12,0.23,0.15,0.96,0.34,0.92
117,0.94,0.7,0.2,0.84,0.18,0.47,0.68,0.48,0.76,0.8,0.08,0.57,0.04,0.05,0.74,0.42,0.13
118,0.54,0.18,0.35,0.85,0.01,0.67,0.01,0.19,0.25,0.85,0.69,0.13,0.89,0.64,0.84,0.86,0.65
119,0.65,0.19,0.49,0.73,0.76,0.23,0.27,0.24,0.56,0.83,0.32,0.89,0.46,0.1,0.94,0.2,0.76
120,0.68,0.93,0.38,0.69,0.48,0.97,0.91,0.18,0.27,0.55,0.13,0.87,0.33,0.48,0.5,0.41,0.77
121,0.43,0.68,0.97,0.7,0.01,0.72,0.29,0.01,0.12,0.12,0.55,0.97,0.26,0.28,0.04,0.56,0.36
122,0.86,0.83,0.09,0.37,0.7,0.97,0.98,0.3,0.27,0.62,0.44,0.8,0.03,0.75,0.13,0.57,0.49
123,0.78,0.68,0.59,0.38,0.44,0.81,0.95,0.97,0.13,0.88,0.57,0.98,0.33,0.07,0.09,0.91,0.82
124,0.31,0.11,0.1,0.15,0.82,0.43,0.21,0.88,0.41,0.22,0.76,0.29,0.66,0.16,0.45,0.88,0.13
125,0.91,0.21,0.89,0.99,0.03,0.45,0.81,0.2,0.62,0.82,0.05,0.14,0.55,0.78,0.85,0.83,0.98
126,0.21,0.14,0.71,0.17,0.25,0.27,0.44,0.79,0.36,0.25,0.33,0.74,0.89,0.91,0.16,0.71,0.43
127,0.81,0.3,0.67,0.98,0.98,0.95,0.08,0.44,0.02,0.03,0.95,0.1,0.73,0.23,0.98,0.99,0.67
128,0.98,0.1,0.36,0.02,0.48,0.58,0.87,0.85,0.66,0.22,0.88,0.2,0.43,0.22,0.81,0.76,0.78
129,0.13,0.72,0.74,0.34,0.69,0.65,0.44,0.11,0.09,0.84,0.76,0.34,0.22,0.66,0.24,0.34,0.43
130,0.87,0.46,0.09,0.11,0.86,0.17,0.04,0.67,0.67,0.91,0.87,0.0,0.13,0.91,0.38,0.38,0.85
131,0.09,0.93,0.82,0.56,0.78,0.31,0.26,0.02,0.48,0.48,0.5,0.44,0.58,0.17,0.97,0.56,0.23
132,0.06,0.23,0.15,0.67,0.47,0.6,0.83,0.9,0.04,0.9,1.0,0.94,0.56,0.51,0.82,0.35,0.13
133,0.9,0.41,0.86,0.19,0.1,0.05,0.03,0.93,0.55,0.09,0.54,0.1,0.24,0.63,0.1,0.78,0.68
134,0.52,0.85,0.46,0.99,0.34,0.9,0.27,0.19,0.99,0.35,0.19,0.69,0.16,0.62,0.61,0.02,0.83
135,0.59,0.88,0.66,0.62,0.37,0.63,0.35,0.75,0.21,0.54,0.92,0.61,0.59,0.88,0.04,0.87,0.88
136,0.22,0.1,0.06,0.29,0.78,0.48,0.44,0.25,0.85,0.03,0.04,0.38,0.63,0.42,0.41,0.53,0.59
137,0.65,0.89,0.27,0.84,0.54,0.6,0.36,0.06,0.99,0.83,0.19,0.75,0.1,0.11,0.68,0.52,0.65
138,0.19,0.98,0.6,0.93,0.9,0.23,0.81,0.34,0.33,0.44,0.01,0.62,0.82,0.49,0.31,0.61,0.75
139,0.2,0.51,0.65,0.17,0.45,0.13,0.95,0.46,0.86,0.9,0.45,0.72,0.7,0.61,0.14,0.7,0.34
140,0.42,0.85,0.55,0.96,0.42,0.42,0.76,0.2,0.93,0.68,0.36,0.33,0.87,0.27,0.49,0.37,0.71
141,0.48,0.59,0.91,0.73,0.68,0.72,0.95,0.84,0.57,0.65,0.33,0.94,0.96,0.99,0.95,0.91,0.57
142,0.38,0.7,0.1,0.15,0.35,0.32,0.8,0.93,0.68,0.72,0.32,0.99,0.51,0.3,0.9,0.32,0.05
143,0.25,0.45,0.84,0.79,0.97,0.14,0.64,0.75,0.49,0.07,0.62,0.17,0.27,0.98,1.0,0.82,0.69
144,0.22,0.42,0.85,0.53,0.75,0.96,0.15,0.96,0.65,0.68,0.91,0.79,0.47,0.55,0.36,0.5,0.09
145,0.79,0.92,0.39,0.39,0.15,0.44,0.78,0.7,0.48,0.38,0.76,0.38,0.94,0.32,0.23,0.73,0.48
146,0.93,0.05,0.93,0.32,0.91,0.36,0.02,0.8,0.81,0.98,0.75,0.5,0.61,0.14,0.52,0.95,0.97
147,0.78,0.74,0.04,0.76,0.45,0.34,0.57,0.99,0.52,0.97,0.36,0.2,0.94,0.07,0.69,0.65,0.83
148,0.73,0.36,0.26,0.7,0.46,0.95,0.2,0.54,0.73,0.48,0.61,0.05,0.79,0.11,0.97,0.07,0.27
149,0.98,0.05,0.77,0.64,1.0,0.5,0.82,0.3,0.66,0.27,0.74,0.75,0.36,0.65,0.91,0.47,0.52
150,0.72,0.08,0.99,0.74,0.3,0.48,0.43,0.48,0.49,0.21,0.63,0.29,0.89,0.29,0.73,0.59,0.69
151,0.2,0.12,0.45,0.95,0.45,0.7,0.6,0.94,0.56,0.5,0.9,0.7,0.1,0.24,0.56,0.48,0.1
152,0.81,0.95,0.24,0.96,0.24,0.35,0.12,0.36,0.02,0.89,0.78,0.92,0.52,0.65,0.46,0.94,0.37
153,0.1,0.07,0.52,0.27,0.26,0.21,0.61,0.07,0.95,0.05,0.55,0.29,0.07,0.72,0.45,0.07,0.3
154,0.15,0.89,0.99,0.12,0.4,0.72,0.44,0.33,0.18,0.78,0.75,0.71,0.96,0.66,0.7,0.29,0.37
155,0.42,0.73,0.89,0.69,0.98,0.54,0.48,0.62,0.38,0.03,0.17,0.73,0.82,0.88,0.58,0.37,0.4
156,0.01,0.53,0.67,0.81,0.75,0.43,0.99,0.12,0.81,0.86,0.5,0.55,0.22,0.66,0.12,0.45,0.32
157,0.67,0.2,0.82,0.97,0.19,0.74,0.08,0.76,0.14,0.43,0.81,0.79,0.11,0.25,0.81,0.82,0.07
158,0.74,0.42,0.56,0.07,0.6,0.01,0.39,0.14,0.16,0.16,0.95,0.73,0.79,0.05,0.69,0.13,0.69
159,0.14,0.68,0.82,0.13,0.72,0.36,0.38,0.37,0.13,0.87,0.15,0.17,0.05,0.99,0.83,0.72,0.55
160,0.2,0.82,0.74,0.81,0.55,0.97,0.3,0.23,0.68,0.25,0.33,0.91,0.28,0.52,0.8,0.72,0.67
161,0.8,0.68,0.29,0.72,0.01,0.88,0.15,0.05,0.01,0.62,0.27,0.56,0.73,0.32,0.97,0.26,0.43
162,0.03,0.2,0.3,0.26,0.57,0.74,0.56,0.97,0.6,0.66,0.09,0.78,0.98,0.75,0.83,0.22,0.9
163,0.34,0.92,0.83,0.63,0.44,0.89,0.18,0.91,0.85,0.19,0.25,0.74,0.01,0.23,0.29,0.37,0.15
164,0.21,0.84,0.46,0.22,0.25,0.61,0.76,0.51,0.13,0.43,0.99,0.56,0.72,0.66,0.02,0.35,0.29
165,0.53,0.06,0.14,0.12,0.94,0.19,0.64,0.11,0.02,0.5,0.2,0.89,0.78,0.83,0.98,0.73,0.05
166,0.32,0.77,0.41,0.98,0.64,0.06,0.42,0.12,0.56,0.42,0.86,0.99,0.06,0.88,0.97,0.84,0.19
167,0.94,0.05,0.92,0.98,0.91,0.32,0.34,0.15,0.06,0.58,0.04,0.18,0.72,0.28,0.99,0.1,0.04
168,0.66,0.35,0.57,0.13,0.37,0.68,0.17,0.73,0.01,0.95,0.1,0.98,0.48,0.85,0.22,0.47,0.87
169,0.49,0.54,0.19,0.32,0.42,0.12,0.91,0.38,0.55,0.88,0.98,0.09,0.99,0.43,0.07,0.33,0.43
170,0.18,0.96,0.06,0.76,0.36,0.89,0.57,0.42,0.05,0.69,0.0,0.87,0.9,0.72,0.98,0.12,0.43
171,0.33,0.34,0.92,0.81,0.39,0.52,0.3,0.93,0.3,0.29,0.19,0.96,0.53,0.55,0.36,0.3,0.86
172,0.5,0.49,0.45,0.56,0.88,0.68,0.26,0.2,0.3,0.26,0.46,0.59,0.94,0.11,0.52,0.03,0.14
173,0.92,0.2,0.25,0.52,0.24,0.46,0.42,0.64,0.41,0.01,0.7,0.28,0.29,0.99,0.67,0.88,0.92
174,0.62,0.36,0.67,0.84,0.59,0.62,0.6,0.04,0.99,0.92,0.64,0.71,0.57,0.97,0.53,0.34,0.35
175,0.7,0.52,0.55,0.45,0.82,0.81,0.01,0.81,0.9,0.54,0.31,0.22,0.03,0.35,0.77,0.33,0.3
176,0.2,0.76,0.11,0.78,0.43,0.46,0.38,0.26,0.78,0.0,0.26,0.84,0.72,0.78,0.22,0.1,0.21
177,0.53,0.25,0.97,0.51,0.72,0.86,0.41,0.36,0.95,0.56,0.1,0.32,0.65,0.32,0.23,0.47,0.38
178,0.19,0.73,0.45,0.74,0.3,0.05,0.0,0.57,0.81,0.95,0.96,0.14,0.61,0.32,0.84,0.43,0.25
179,0.1,0.44,0.65,0.5,0.94,0.69,0.04,0.56,0.66,0.68,0.6,0.59,0.27,0.98,0.33,0.35,0.03
180,0.95,0.78,0.61,0.42,0.6,0.91,0.43,0.88,0.54,0.8,0.88,0.98,0.17,0.14,0.63,0.51,0.82
181,0.92,0.09,0.44,0.57,0.51,0.94,0.3,0.79,0.78,0.76,0.68,0.93,0.21,0.99,0.89,0.67,0.58
182,0.2,0.91,0.85,0.84,0.81,0.21,0.66,0.81,0.81,0.76,0.14,0.83,0.19,0.75,0.4,0.5,0.11
183,0.26,0.11,0.33,0.37,0.78,0.22,0.5,0.22,0.69,0.66,0.47,0.08,0.82,0.95,0.17,0.77,0.3
184,0.95,0.58,0.57,0.11,0.88,0.61,0.5,0.48,0.64,0.89,0.08,0.03,0.41,0.26,0.51,0.55,0.02
185,0.02,0.73,0.52,0.17,0.19,0.39,0.91,0.75,0.05,0.97,0.9,0.84,0.26,0.11,1.0,0.3,0.49
186,0.31,0.18,0.84,0.06,0.93,0.18,0.68,0.81,0.16,0.79,0.25,0.87,0.06,0.56,0.92,0.26,0.66
187,0.45,0.04,0.49,0.5,0.82,0.94,0.37,0.44,0.23,0.03,0.52,0.12,0.92,0.96,0.17,0.79,0.72
188,0.25,0.29,0.34,0.17,0.31,0.25,0.38,0.9,0.78,0.29,0.53,0.31,0.41,0.59,0.36,0.3,0.25
189,0.37,0.18,0.79,0.31,0.75,0.22,0.83,0.95,0.95,0.85,0.15,0.86,0.31,0.97,0.96,0.5,0.59
190,0.24,0.3,0.42,0.98,0.27,0.22,0.6,0.24,0.03,0.89,0.39,0.85,0.37,0.93,0.13,0.43,0.36
191,0.29,0.55,0.04,0.25,0.95,0.52,0.72,0.99,0.89,0.44,0.23,0.74,0.12,0.43,0.82,0.09,0.6
192,0.32,0.26,0.19,0.11,0.58,0.94,0.98,0.68,0.42,0.55,0.24,0.06,0.71,0.87,0.49,0.04,0.64
193,0.18,0.84,0.94,0.15,0.31,0.7,0.64,0.08,0.58,0.27,0.09,0.18,0.86,0.57,0.65,0.88,0.5
194,0.43,0.26,0.76,0.15,0.67,0.7,0.25,0.35,0.56,0.23,0.7,0.96,0.53,0.28,0.18,0.51,0.77
195,0.81,0.56,0.52,0.14,0.38,0.26,0.18,0.9,0.48,0.72,0.1,0.17,0.29,0.98,0.63,0.98,0.41
196,0.36,0.06,0.3,0.19,0.51,0.24,0.64,0.13,0.06,0.64,0.5,0.63,0.46,0.59,0.94,0.8,0.49
197,0.87,0.75,0.68,0.37,0.74,0.72,0.28,0.29,0.47,0.18,0.73,0.91,0.2,0.06,0.79,0.98,0.87
